what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1486621204435
java.specification.version,sysinfo,,,"1.6",1486621204435
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1486621204435
java.version,sysinfo,,,"1.6.0_24",1486621204435
java.vm.info,sysinfo,,,"mixed mode, sharing",1486621204435
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1486621204435
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1486621204435
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1486621204435
java.vm.specification.version,sysinfo,,,"1.0",1486621204435
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1486621204435
java.vm.version,sysinfo,,,"19.1-b02",1486621204435
started,bundle,org.eclipse.wst.web,1.1.300.v200901261500,"org.eclipse.wst.web",1486621204523
started,bundle,org.eclipse.emf.common,2.5.0.v200906151043,"org.eclipse.emf.common",1486621204717
started,bundle,org.eclipse.emf.ecore,2.5.0.v200906151043,"org.eclipse.emf.ecore",1486621204911
started,bundle,org.eclipse.jem.util,2.0.200.v200905140200,"org.eclipse.jem.util",1486621204911
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1486621204912
started,bundle,org.eclipse.jst.jsf.common,1.1.5.v20090505,"org.eclipse.jst.jsf.common",1486621205039
started,bundle,org.eclipse.jst.jsf.core,1.2.0.v20090514,"org.eclipse.jst.jsf.core",1486621205056
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.0.v200906080500,"org.eclipse.jst.common.project.facet.core",1486621205176
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1486621205203
started,bundle,org.eclipse.mylyn.commons.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.ui",1486621205393
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1486621205496
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1486621205550
started,bundle,org.eclipse.ui.forms,3.4.0.v20090526,"org.eclipse.ui.forms",1486621205734
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui",1486621205879
